screen,exit,n,net_pct,control_pct,excess_pct,t_vs_control,gross_pct,cost_drag,win_pct,avg_win,avg_loss,profit_factor,t_stat,med_bars,exit_stop,exit_target,exit_time
Volume thrust / accumulation,2ATR stop / 3R target,10755,1.844,1.98,-0.136,-0.8,2.203,0.359,33.7,21.1,-7.94,1.35,13.3,15,65,31,3
Volume thrust / accumulation,2ATR stop / 2R target,10755,0.971,1.161,-0.19,-1.5,1.328,0.358,40.0,14.37,-7.97,1.2,8.8,11,59,39,2
Volume thrust / accumulation,1.5ATR stop / 3R target,10755,0.579,0.886,-0.307,-2.5,0.936,0.357,30.1,16.12,-6.12,1.14,5.6,8,70,29,1
Volume thrust / accumulation,3ATR stop / 4R target,10755,6.097,5.475,0.622,2.3,6.462,0.365,40.0,32.09,-11.26,1.9,26.1,43,57,22,21
Volume thrust / accumulation,8% stop / 20% target,10755,1.614,1.598,0.016,0.1,1.973,0.359,37.2,18.64,-8.47,1.3,12.5,16,62,34,4
Volume thrust / accumulation,3ATR chandelier trail,10755,-0.392,0.284,-0.676,-5.1,-0.036,0.356,34.7,10.89,-6.38,0.91,-3.5,13,99,0,1
Volume thrust / accumulation,"no stop, hold 63d",10755,7.559,5.954,1.605,5.7,7.926,0.367,57.8,22.09,-12.38,2.45,30.9,63,0,0,100
52-week breakout on volume,2ATR stop / 3R target,13011,1.684,1.98,-0.296,-2.0,2.042,0.359,33.4,19.6,-7.31,1.35,14.3,14,66,32,2
52-week breakout on volume,2ATR stop / 2R target,13011,0.758,1.161,-0.403,-3.5,1.116,0.358,39.3,13.19,-7.3,1.17,8.2,11,60,39,1
52-week breakout on volume,1.5ATR stop / 3R target,13011,0.436,0.886,-0.45,-4.1,0.793,0.357,29.6,14.84,-5.61,1.11,5.1,8,70,29,1
52-week breakout on volume,3ATR stop / 4R target,13011,6.033,5.475,0.558,2.3,6.398,0.365,39.7,31.03,-10.43,1.96,29.8,41,58,24,18
52-week breakout on volume,8% stop / 20% target,13011,2.001,1.598,0.403,2.8,2.36,0.359,38.7,18.56,-8.46,1.39,16.9,19,60,35,4
52-week breakout on volume,3ATR chandelier trail,13011,-0.225,0.284,-0.509,-4.2,0.131,0.356,34.7,10.63,-5.98,0.94,-2.3,13,99,0,1
52-week breakout on volume,"no stop, hold 63d",13011,7.732,5.954,1.778,7.0,8.099,0.367,59.9,20.78,-11.75,2.64,36.3,63,0,0,100
Momentum leader,2ATR stop / 3R target,11775,2.347,1.98,0.367,2.3,2.707,0.36,35.4,20.61,-7.64,1.48,17.9,18,64,33,2
Momentum leader,2ATR stop / 2R target,11775,1.329,1.161,0.168,1.4,1.688,0.359,41.6,13.92,-7.66,1.3,12.9,13,58,41,1
